2025-06-08 17:54:26,148 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 17:54:26,162 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 17:54:26,162 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 17:54:26,262 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 18:02:38,365 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 18:02:38,380 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 18:02:38,381 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 18:03:59,172 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 18:03:59,183 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 18:03:59,183 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 18:03:59,274 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 18:05:00,359 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 18:05:00,373 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 18:05:00,373 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 18:05:00,472 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 18:06:01,157 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 18:06:01,169 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 18:06:01,169 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 18:06:01,254 | INFO     | src.experiments | [no_weather] No covariates used
2025-06-08 18:06:01,255 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 18:07:16,699 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 18:07:16,712 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 18:07:16,712 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 18:07:16,813 | INFO     | src.experiments | [no_weather] No covariates used
2025-06-08 18:07:16,815 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 18:08:48,912 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 18:08:48,924 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 18:08:48,924 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 18:08:49,011 | INFO     | src.experiments | [no_weather] No covariates used
2025-06-08 18:08:49,013 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 18:12:30,881 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 18:12:30,894 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 18:12:30,894 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 18:12:30,983 | INFO     | src.experiments | [no_weather] No covariates used
2025-06-08 18:12:30,985 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 18:16:22,311 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 18:16:22,323 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 18:16:22,323 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 18:16:22,412 | INFO     | src.experiments | [no_weather] No covariates used
2025-06-08 18:16:22,414 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 18:40:58,491 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 18:40:58,505 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 18:40:58,505 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 18:40:58,617 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 18:40:58,629 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 18:41:27,049 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 18:41:27,063 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 18:41:27,064 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 18:41:27,168 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 18:41:27,171 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 18:51:06,027 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 18:51:06,040 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 18:51:06,040 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 18:51:06,147 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 18:51:06,150 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 18:57:24,810 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 18:57:24,821 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 18:57:24,821 | INFO     | src.experiments | [no_weather] Start experiment
