experiment,MAE,MSE
full_weather,599.2119303560464,1584904.9855454615
no_weather,659.1051823180029,1753035.2120575593
drop_station_pressure,662.681394662041,1717932.9640402445
drop_sea_level_pressure,684.1802032345626,1784580.2898580567
drop_temperature,661.5735187187116,1701529.8798763358
drop_dew_point_temperature,666.1306384315894,1710830.812323577
drop_relative_humidity,667.4382611191435,1723154.099241578
drop_vapor_pressure,1251.357810962168,5231399.262171956
drop_avg_wind_speed,662.6791732663027,1706841.8014123298
drop_avg_wind_direction,665.1492994798116,1718933.160824211
drop_precipitation,661.0458951373425,1693100.7044525673
drop_precipitation_hours,663.1442391961119,1700404.0700460738
drop_sunshine_hours,635.1018534118409,1638896.1134004565
drop_pressure_trend,670.5585951345239,1736640.663991907
drop_solar_radiation,666.4684518212549,1722116.282164355
drop_saturation_vapor_pressure,674.4348582283433,1743051.591667328
drop_uv_index,665.9717636860047,1713791.278158715
