experiment,MAE,MSE
out_no_weather,1863.289508542633,9521254.021726487
out_full_weather,4151.603583266777,27951624.26426959
out_drop_station_pressure,4333.138308501637,29392580.149048373
out_drop_sea_level_pressure,4223.05653674679,28038021.530241694
out_drop_temperature,4276.972766963645,28665736.9218898
out_drop_dew_point_temperature,1149.920263358224,3434545.085926959
out_drop_relative_humidity,1135.288609418616,3533774.81557604
out_drop_vapor_pressure,4139.585853492564,27284871.990338545
out_drop_avg_wind_speed,4287.095902990851,28956898.553048387
out_drop_avg_wind_direction,1065.8000482065763,3186606.2142785457
out_drop_precipitation,1079.943032974237,3195281.654070791
out_drop_precipitation_hours,1969.492074806471,9839083.704494432
out_drop_sunshine_hours,1856.487310244816,9007684.349647868
out_drop_pressure_trend,4322.377495781166,29220625.35325213
out_drop_solar_radiation,4327.613185402458,29303586.695586007
out_drop_saturation_vapor_pressure,3549.3264857955683,22034068.52043737
out_drop_uv_index,1861.7439844070452,9046171.314662682
